town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Mars Hill,Aroostook,1398.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.18,38.41,39.94,44.5,28.16,22.87,30.6,9.56,8.14,24.54,17.62,22.89,3.21,7.43,1.77,0.0,0.0,0.0,0.0,0.0
Palermo,Waldo,1473.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.18,66.29,34.24,39.88,45.48,44.69,65.62,4.76,1.67,21.18,17.31,18.06,33.1,12.96,2.28,0.0,0.0,0.0,0.0,0.0
Randolph,Kennebec,1610.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.17,34.05,46.58,44.1,28.96,23.54,11.31,15.67,4.91,27.76,20.19,12.73,1.75,9.18,0.13,0.0,0.0,0.0,0.0,0.0
Gray,Cumberland,8429.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.15,48.8,27.4,44.95,33.54,29.56,56.35,3.55,2.98,19.27,14.07,19.01,14.27,15.35,0.0,0.0,0.0,0.0,0.0,0.0
Linneus,Aroostook,1226.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.14,61.89,36.09,42.75,38.93,23.04,53.85,11.99,10.42,15.25,11.13,23.98,31.6,3.21,1.55,0.0,0.0,0.0,0.0,0.0
Whitefield,Lincoln,2157.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.12,43.2,39.74,36.86,37.09,36.95,33.33,7.14,2.62,29.07,18.44,17.62,1.73,21.55,3.16,0.0,0.0,0.0,0.0,0.0
Littleton,Aroostook,887.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.11,38.93,36.74,44.55,26.31,33.53,20.75,8.86,6.65,18.49,15.9,22.89,1.55,7.38,0.83,0.0,0.0,0.0,0.0,0.0
Nobleboro,Lincoln,1906.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.11,59.92,35.86,42.15,40.29,29.77,51.3,10.44,1.79,27.91,11.75,17.52,28.55,9.26,0.6,0.0,0.0,0.0,0.0,0.0
Corinth,Penobscot,2990.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.0,42.25,36.9,44.18,31.26,30.54,23.37,11.44,4.13,16.29,17.27,23.01,7.91,12.06,0.0,0.0,0.0,0.0,0.0,0.0
Strong,Franklin,1249.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.9,54.49,44.79,35.91,44.83,38.26,20.93,13.93,6.59,22.02,17.21,19.54,20.65,19.45,0.4,0.0,0.0,0.0,0.0,0.0
Hampden,Penobscot,7896.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.87,32.47,28.95,53.59,22.94,23.79,22.25,7.48,3.28,17.19,12.89,25.84,3.16,8.18,0.44,1.0,0.0,0.0,0.0,1.0
Franklin,Hancock,1628.0,Infrastructure capacity build-out,infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.85,55.73,42.5,36.59,44.08,29.74,36.71,15.72,1.52,25.55,15.48,16.28,21.99,17.27,1.38,1.0,0.0,0.0,0.0,1.0
Brooks,Waldo,1208.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.84,40.4,46.21,41.02,35.21,20.49,17.98,19.06,5.0,16.97,22.1,17.05,7.96,14.7,0.0,0.0,0.0,0.0,0.0,0.0
New Gloucester,Cumberland,5766.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.8,35.97,26.17,50.39,22.99,36.22,24.72,4.32,0.0,15.4,13.64,24.25,1.06,9.1,0.86,0.0,0.0,0.0,0.0,0.0
Bradford,Penobscot,1254.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.78,51.69,34.28,31.93,41.28,34.62,87.5,9.01,3.78,21.45,11.24,18.9,4.69,27.49,2.52,0.0,0.0,0.0,0.0,0.0
Cranberry Isles,Hancock,196.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.75,68.29,34.84,36.51,45.28,39.02,71.43,4.59,15.48,19.9,8.67,19.39,69.02,13.08,0.0,0.0,0.0,0.0,0.0,0.0
Charleston,Penobscot,1117.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.69,44.53,25.03,45.33,26.22,31.48,45.45,6.36,1.81,11.55,10.32,19.43,3.49,9.85,1.58,0.0,0.0,0.0,0.0,0.0
Dallas,Franklin,220.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.66,49.3,53.51,47.23,39.45,41.44,0.0,7.27,9.02,43.18,25.45,2.27,66.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milton UT,Oxford,166.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.66,64.76,51.63,29.71,53.71,22.92,40.0,30.12,0.0,23.49,21.08,20.48,34.83,20.37,0.0,0.0,0.0,0.0,0.0,0.0
Lowell,Penobscot,378.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.65,65.87,49.74,29.43,55.36,33.12,80.0,10.85,5.73,31.22,26.19,13.23,38.75,22.3,2.08,0.0,0.0,0.0,0.0,0.0
Waltham,Hancock,346.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.64,54.25,53.55,27.34,53.9,41.18,15.0,19.65,0.0,32.95,20.81,15.03,17.33,35.67,0.0,0.0,0.0,0.0,0.0,0.0
Otisfield,Oxford,1951.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.61,66.28,40.41,33.78,52.44,35.01,77.27,10.3,4.73,23.68,17.99,16.09,35.53,23.97,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,York,6629.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.55,43.3,26.73,40.39,33.78,34.82,35.71,7.38,2.25,12.91,9.79,24.12,1.86,25.64,0.0,0.0,0.0,0.0,0.0,0.0
Wells,York,11713.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.54,55.38,33.49,45.15,42.29,27.96,42.11,6.78,1.22,30.97,13.01,18.0,43.2,13.78,0.63,0.0,0.0,0.0,0.0,0.0
Osborn,Hancock,88.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.49,69.22,48.53,25.75,60.83,44.9,100.0,9.09,0.0,31.82,29.55,9.09,45.45,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Dixmont,Penobscot,1207.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.41,38.51,32.56,46.54,27.03,21.58,42.22,7.87,2.06,19.39,18.69,15.91,3.25,10.66,0.56,0.0,0.0,0.0,0.0,0.0
Hiram,Oxford,1748.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.41,54.94,45.36,27.63,50.14,27.38,56.41,12.59,4.48,15.73,29.75,20.94,14.49,31.2,1.54,0.0,0.0,0.0,0.0,0.0
Leeds,Androscoggin,2285.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.4,46.29,39.44,35.54,39.86,25.1,27.08,19.75,2.71,14.84,11.52,30.59,7.45,24.33,0.65,0.0,0.0,0.0,0.0,0.0
Harrison,Cumberland,2513.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.37,55.07,47.66,36.65,48.15,26.68,27.52,19.1,0.39,29.81,16.67,9.07,27.64,17.11,3.55,0.0,0.0,0.0,0.0,0.0
Southport,Lincoln,550.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.34,60.07,46.28,37.46,48.53,27.57,93.1,5.48,10.26,51.82,14.55,10.36,62.89,15.02,1.32,2.0,0.0,0.0,2.0,0.0
Orland,Hancock,1915.0,Infrastructure capacity build-out,infrastructure capacity gap; hazard-overlay first,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.33,57.23,34.95,39.0,41.42,36.82,44.95,7.11,1.76,27.47,14.05,14.83,23.62,16.38,0.0,3.0,0.0,0.0,2.0,1.0
Oakfield,Aroostook,629.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.3,46.29,54.6,42.78,38.93,22.81,21.59,9.22,11.6,36.25,31.8,10.81,26.47,2.81,0.94,0.0,0.0,0.0,0.0,0.0
Fayette,Kennebec,1383.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.29,59.21,43.94,32.11,50.81,36.54,46.77,7.88,2.42,37.24,20.67,15.69,24.91,26.8,0.0,0.0,0.0,0.0,0.0,0.0
Livermore,Androscoggin,1868.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.28,54.99,35.63,34.75,42.21,33.79,75.0,8.04,2.16,24.79,15.85,17.02,16.19,22.3,0.36,0.0,0.0,0.0,0.0,0.0
Moro,Aroostook,10.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.27,41.0,73.0,43.53,43.61,0.0,0.0,20.0,25.0,90.0,30.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parsonsfield,York,1715.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.26,69.28,38.91,24.92,55.99,42.65,78.16,12.04,4.04,17.96,14.55,25.01,27.38,58.57,0.0,0.0,0.0,0.0,0.0,0.0
Cornish,York,1803.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.2,57.34,34.9,27.68,47.03,42.96,48.8,6.27,4.85,17.42,16.25,18.19,11.01,32.62,1.35,0.0,0.0,0.0,0.0,0.0
Stonington,Hancock,840.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; hazard-overlay first,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,39.18,51.62,53.7,42.19,44.96,28.57,20.78,10.83,6.11,38.45,28.81,10.12,34.62,6.73,2.74,3.0,0.0,0.0,2.0,1.0
Brownville,Piscataquis,983.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.12,58.0,52.41,24.94,56.05,31.53,26.19,18.31,10.4,28.08,16.89,19.02,21.62,37.46,0.64,0.0,0.0,0.0,0.0,0.0
Webster,Penobscot,85.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.1,30.99,55.24,41.3,34.34,9.76,0.0,31.76,8.33,14.12,29.41,3.53,4.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0
Merrill,Aroostook,372.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",39.06,52.26,25.0,40.77,31.92,36.21,60.0,5.65,2.4,13.98,8.06,41.67,11.18,13.22,0.8,0.0,0.0,0.0,0.0,0.0
New Portland,Somerset,686.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,39.03,68.39,41.46,29.27,54.11,29.69,94.74,14.47,9.88,17.64,12.68,23.18,33.91,24.18,1.54,0.0,0.0,0.0,0.0,0.0
Litchfield,Kennebec,3680.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,39.02,49.16,29.03,46.1,33.46,37.87,32.0,4.27,3.95,19.08,11.98,17.58,18.61,11.67,0.0,0.0,0.0,0.0,0.0,0.0
Canaan,Somerset,2063.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.92,46.89,39.3,35.87,37.7,32.69,24.27,12.92,5.99,18.81,14.2,22.2,10.41,18.47,0.67,0.0,0.0,0.0,0.0,0.0
Clinton,Kennebec,3385.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.85,38.46,31.34,41.98,29.46,24.94,79.31,2.57,2.01,21.39,23.37,15.1,0.86,17.7,0.0,0.0,0.0,0.0,0.0,0.0
Bradley,Penobscot,1645.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.68,35.48,29.53,49.87,21.3,27.68,31.31,4.56,2.02,19.51,17.36,21.88,3.95,3.33,0.0,0.0,0.0,0.0,0.0,0.0
Westport Island,Lincoln,835.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.68,50.47,35.9,45.69,35.24,30.08,42.86,4.47,1.52,35.93,16.89,5.87,24.51,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberty,Waldo,969.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,38.65,64.31,44.04,31.02,53.67,35.22,38.46,14.76,2.3,21.78,17.93,19.4,42.86,21.15,4.61,0.0,0.0,0.0,0.0,0.0
Portage Lake,Aroostook,374.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.6,53.53,55.91,36.68,49.4,20.0,41.67,12.03,0.52,55.88,32.09,5.08,48.09,14.19,1.04,0.0,0.0,0.0,0.0,0.0
Stoneham,Oxford,271.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.56,58.54,40.62,40.34,47.16,29.36,66.67,7.38,0.0,40.96,16.61,5.9,60.86,14.81,3.39,0.0,0.0,0.0,0.0,0.0
North Yarmouth,Cumberland,4240.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.54,33.43,22.34,52.16,20.56,21.37,38.83,4.83,1.36,17.12,9.29,21.51,0.81,8.91,0.0,0.0,0.0,0.0,0.0,0.0
Brooklin,Hancock,869.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.52,61.09,39.14,37.7,45.98,44.81,29.55,7.72,2.86,24.74,17.95,16.34,49.0,14.93,0.26,0.0,0.0,0.0,0.0,0.0
Windsor,Kennebec,2690.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.49,46.6,32.54,34.33,36.89,29.28,46.23,7.52,4.76,14.35,17.62,23.16,5.4,24.46,0.0,0.0,0.0,0.0,0.0,0.0
Readfield,Kennebec,2651.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.43,46.09,29.32,47.53,31.16,34.71,31.25,5.03,1.27,22.29,12.0,18.71,17.87,7.77,1.56,0.0,0.0,0.0,0.0,0.0
Hermon,Penobscot,6727.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.37,31.98,27.39,47.84,23.23,22.65,28.21,6.83,2.89,20.38,9.96,21.6,0.0,11.51,0.56,0.0,0.0,0.0,0.0,0.0
Georgetown,Sagadahoc,1012.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.32,60.85,35.25,39.67,44.66,33.85,71.64,6.32,1.03,33.1,13.83,15.71,49.36,15.13,0.0,2.0,0.0,0.0,2.0,0.0
Dayton,York,2313.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.31,38.75,23.78,47.72,24.74,29.81,37.97,3.68,2.17,14.31,11.37,20.41,3.78,10.87,0.97,0.0,0.0,0.0,0.0,0.0
Amherst,Hancock,424.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.27,43.95,30.82,40.87,30.91,25.57,50.0,6.13,1.05,24.29,14.86,19.34,7.24,13.74,1.05,0.0,0.0,0.0,0.0,0.0
Hope,Knox,1748.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.25,44.17,26.36,49.46,26.34,28.74,37.84,5.33,1.29,21.11,9.53,23.34,15.29,3.26,1.15,0.0,0.0,0.0,0.0,0.0
Mount Desert,Hancock,1671.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.24,55.32,33.94,46.54,37.52,30.07,33.88,7.43,6.65,29.14,8.08,14.12,57.56,5.24,0.0,0.0,0.0,0.0,0.0,0.0
Moscow,Somerset,865.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,38.22,59.64,48.1,20.9,57.2,25.5,47.22,20.69,0.0,23.7,17.23,15.72,19.65,31.99,8.29,0.0,0.0,0.0,0.0,0.0
Charlotte,Washington,377.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,38.12,45.83,56.79,40.0,42.55,19.73,0.0,22.81,6.71,21.75,27.32,21.75,28.96,5.3,3.05,0.0,0.0,0.0,0.0,0.0
Belmont,Waldo,876.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,38.08,47.51,35.66,37.33,36.45,30.4,46.34,4.27,3.59,33.68,15.3,17.24,12.92,15.81,1.67,0.0,0.0,0.0,0.0,0.0
Naples,Cumberland,3985.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,38.06,62.01,35.08,35.59,50.04,29.67,59.92,9.51,3.27,23.29,13.93,15.58,38.15,24.65,0.0,0.0,0.0,0.0,0.0,0.0
Prospect,Waldo,923.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.99,39.61,32.8,38.02,31.49,32.46,31.25,7.28,3.46,19.83,13.43,25.24,0.79,17.44,3.19,0.0,0.0,0.0,0.0,0.0
Jackman,Somerset,695.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.93,61.12,47.9,30.01,52.67,23.05,57.14,11.94,6.73,22.73,30.36,11.51,34.16,22.33,0.0,0.0,0.0,0.0,0.0,0.0
Phippsburg,Sagadahoc,2238.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.93,54.1,37.76,44.12,40.16,28.06,35.48,7.55,4.67,34.41,13.05,11.53,34.77,7.87,0.67,0.0,0.0,0.0,0.0,0.0
Hancock,Hancock,2518.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",37.92,51.67,41.22,34.72,43.67,28.92,41.95,8.18,2.53,30.22,21.88,13.86,21.78,18.97,1.74,0.0,0.0,0.0,0.0,0.0
Union,Knox,2663.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.92,44.98,33.33,41.83,34.64,32.14,24.6,10.23,2.08,21.37,11.17,24.93,14.78,14.88,0.57,0.0,0.0,0.0,0.0,0.0
Tremont,Hancock,1508.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.9,56.31,28.32,47.83,34.97,37.23,32.14,6.65,1.71,21.35,7.76,20.16,37.15,3.38,0.0,0.0,0.0,0.0,0.0,0.0
Eagle Lake,Aroostook,570.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.86,56.21,50.89,33.88,52.06,24.32,33.33,11.39,10.33,39.47,21.09,12.63,47.15,21.71,0.0,0.0,0.0,0.0,0.0,0.0
Coplin,Franklin,51.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.81,59.52,47.8,32.0,49.18,40.0,0.0,17.65,16.0,19.61,7.84,5.88,80.77,16.67,0.0,0.0,0.0,0.0,0.0,0.0
Garfield,Aroostook,77.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.78,42.04,45.02,45.66,33.07,50.0,0.0,1.3,2.08,31.17,37.66,15.58,22.58,2.56,0.0,0.0,0.0,0.0,0.0,0.0
Kingfield,Franklin,820.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.75,51.82,45.84,38.49,43.58,19.41,27.66,15.61,8.43,28.41,16.1,15.85,29.31,12.53,0.89,0.0,0.0,0.0,0.0,0.0
Hartland,Somerset,1602.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.7,54.66,49.37,28.66,50.63,22.82,40.15,16.03,1.44,21.79,31.79,19.66,25.32,24.81,0.39,0.0,0.0,0.0,0.0,0.0
Greenville,Piscataquis,1355.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.51,52.41,50.42,37.06,46.45,31.62,15.45,13.72,2.97,34.17,23.54,8.19,54.57,11.11,2.69,0.0,0.0,0.0,0.0,0.0
Passadumkeag,Penobscot,384.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.48,46.04,47.52,27.11,47.7,30.57,21.05,16.67,3.59,25.52,20.63,20.31,9.95,38.52,0.0,0.0,0.0,0.0,0.0,0.0
Waterford,Oxford,1295.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.42,60.48,44.82,30.59,53.88,25.67,36.59,16.45,5.48,27.72,14.52,12.9,35.29,26.28,0.51,0.0,0.0,0.0,0.0,0.0
Temple,Franklin,824.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",37.41,58.49,36.1,31.55,45.8,29.1,73.33,10.16,4.2,15.05,17.96,32.77,24.81,20.33,2.67,0.0,0.0,0.0,0.0,0.0
Bridgton,Cumberland,5642.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.37,59.16,46.87,28.0,57.79,30.92,30.73,12.83,6.6,26.73,22.0,17.97,47.71,39.25,0.0,0.0,0.0,0.0,0.0,0.0
Limington,York,4017.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.33,49.43,31.02,28.18,44.94,40.36,46.23,3.41,1.5,22.08,13.47,15.63,6.89,33.46,5.76,0.0,0.0,0.0,0.0,0.0
Buxton,York,8512.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,37.31,36.07,27.09,41.27,31.08,30.09,26.88,2.32,7.93,19.2,10.15,16.17,3.6,22.19,0.73,0.0,0.0,0.0,0.0,0.0
Waterboro,York,8055.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",37.21,52.84,24.57,32.82,43.01,33.27,50.24,5.96,1.13,14.81,8.93,22.52,15.72,31.89,0.0,0.0,0.0,0.0,0.0,0.0
Willimantic,Piscataquis,200.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.18,49.81,51.64,38.98,45.15,22.06,0.0,32.5,3.9,25.5,15.5,36.5,71.28,10.34,1.3,0.0,0.0,0.0,0.0,0.0
